"Peak_Name"	"Peak_GLMNET"	"Peak_Cor"	"Gene"	"TSS"	"Rsq_GLMNET"
"ESCA_42313"	0	0.0125194358517925	"HLA-B"	31357188	0.601948957610131
"LUAD_48687"	0	-0.0972945146136408	"HLA-B"	31357188	0.601948957610131
"HNSC_33108"	0	0.116444233987511	"HLA-B"	31357188	0.601948957610131
"KIRC_31920"	0	0.188091089886316	"HLA-B"	31357188	0.601948957610131
"MESO_27306"	0	0.350598365734291	"HLA-B"	31357188	0.601948957610131
"MESO_27307"	0.394787679003983	0.405092544823243	"HLA-B"	31357188	0.601948957610131
"COAD_42405"	0	0.247762977770187	"HLA-B"	31357188	0.601948957610131
"CHOL_23756"	0	0.302211140714292	"HLA-B"	31357188	0.601948957610131
"LIHC_45181"	0	0.146617912151572	"HLA-B"	31357188	0.601948957610131
"KIRC_31908"	0	0.39249652437558	"HLA-B"	31357188	0.601948957610131
"ACC_29789"	0	0.050373902100625	"HLA-B"	31357188	0.601948957610131
"ACC_29790"	-0.58486786135095	-0.0292434223298875	"HLA-B"	31357188	0.601948957610131
"UCEC_38427"	0	0.0787820972170087	"HLA-B"	31357188	0.601948957610131
"KIRC_31736"	0.539458540879895	0.489145493321303	"HLA-G"	29826967	0.608582247300791
"MESO_27167"	-0.216542513128208	0.190758463147425	"HLA-G"	29826967	0.608582247300791
"MESO_27168"	-0.618259684811935	0.089299140944741	"HLA-G"	29826967	0.608582247300791
"MESO_27169"	1.11476989214378	0.265783625499905	"HLA-G"	29826967	0.608582247300791
"SKCM_38159"	-0.202748548494623	0.0764892678723978	"HLA-G"	29826967	0.608582247300791
"KIRP_48003"	0.00823158481273504	0.12025320422093	"HLA-G"	29826967	0.608582247300791
"KIRP_48004"	0.386984079722537	0.30343095870772	"HLA-G"	29826967	0.608582247300791
"KIRP_48005"	-0.171993017166222	0.26359040229596	"HLA-G"	29826967	0.608582247300791
"LUAD_48440"	-0.11870838758368	0.22196599539266	"HLA-G"	29826967	0.608582247300791
"CESC_20408"	-0.151428297180002	0.0256261658574954	"HLA-G"	29826967	0.608582247300791
"ESCA_42067"	0.531994323625211	0.344077064558429	"HLA-G"	29826967	0.608582247300791
"KIRC_31734"	0.360933963528961	0.395878995353946	"HLA-G"	29826967	0.608582247300791
"SKCM_38168"	0.0102776160241432	0.245390356326722	"HLA-G"	29826967	0.608582247300791
"SKCM_38171"	0.181456716806529	0.127289728247051	"HLA-G"	29826967	0.608582247300791
"LUAD_48446"	-0.177505891874906	0.0254622361151677	"HLA-G"	29826967	0.608582247300791
"CESC_20410"	0.254109949573891	0.00501365806446624	"HLA-G"	29826967	0.608582247300791
"KIRP_48015"	-0.456500237286993	-0.135456470969469	"HLA-G"	29826967	0.608582247300791
"KIRP_48016"	-0.499626318054973	-0.0330161314262167	"HLA-G"	29826967	0.608582247300791
"CHOL_23587"	0	0.0251184339457087	"HLA-G"	29826967	0.608582247300791
"CHOL_23588"	-0.0309192781514221	-0.0156031449652985	"HLA-G"	29826967	0.608582247300791
"KIRP_48019"	0.0862111006445916	0.214842961868718	"HLA-G"	29826967	0.608582247300791
"KIRP_48020"	0.244911655963898	0.257752459189577	"HLA-G"	29826967	0.608582247300791
"KIRP_48021"	0.45113141450332	0.233027501494854	"HLA-G"	29826967	0.608582247300791
